"1"	"69"	"15"	"331125194603183669"	"斑布纸业职员1"	"9"	"港铁4号延长线二期"	"1000001.00"	""	"2019-8-1"	"2019-8-2"	""	"0"	"0"	"52"	"2019-7-29 15:56:58"
"2"	"69"	"15"	"331125194603183669"	"斑布纸业职员1"	"10"	"深圳地铁6号线"	"200001.00"	""	"2019-8-3"	"2019-8-4"	""	"0"	"0"	"52"	"2019-7-29 15:56:58"
"3"	"69"	"16"	"510722196312081174"	"斑布纸业职员1授信2"	"11"	"授信工程项目1"	"3000000.00"	""	"2019-8-5"	"2019-8-6"	""	"0"	"0"	"52"	"2019-7-29 16:14:20"
"4"	"69"	"16"	"510722196312081174"	"斑布纸业职员1授信2"	"12"	"授信工程项目2"	"4000000.00"	""	"2019-8-7"	"2019-8-8"	""	"0"	"0"	"52"	"2019-7-29 16:14:20"
"5"	"66"	"17"	"341226197904173963"	"金三顺"	"13"	"深圳湾科技生态园"	"2000000.00"	""	"2019-7-30"	"2019-10-30"	""	"0"	"0"	"48"	"2019-7-30 16:51:08"
"6"	"65"	"27"	"420113198712162721"	"王麻子"	"20"	"天安云谷一期消防施工项目"	"3000000.00"	""	"2019-7-31"	"2019-10-30"	""	"0"	"0"	"46"	"2019-7-31 18:14:01"
"7"	"61"	"31"	"430522199206047813"	"缸发动机"	"31"	"法规的施工方"	"1684756.00"	""	"2019-7-31"	"2019-7-31"	""	"0"	"0"	"43"	"2019-7-31 19:56:54"
"8"	"61"	"33"	"430522199206047813"	"就好了健康"	"33"	"法规的规划"	"11.00"	""	"2019-7-31"	"2019-7-31"	""	"0"	"0"	"43"	"2019-7-31 20:31:08"
"9"	"85"	"32"	"610728193609144146"	"花卷1号职员授信1"	"32"	"马家龙文体1期工程"	"1000001.00"	""	"2019-8-1"	"2019-8-10"	""	"0"	"0"	"69"	"2019-7-31 20:51:21"
"10"	"85"	"32"	"610728193609144146"	"花卷1号职员授信1"	"34"	"马家龙文体2期工程"	"2000001.00"	""	"2019-9-1"	"2019-9-10"	""	"0"	"0"	"69"	"2019-7-31 20:51:21"
"11"	"85"	"32"	"610728193609144146"	"花卷1号职员授信1"	"35"	"马家龙文体3期工程"	"300001.00"	""	"2019-10-1"	"2019-10-10"	""	"0"	"0"	"69"	"2019-7-31 20:51:21"
"12"	"90"	"38"	"210123195210028522"	"蛮灵客服1授信1"	"50"	"授信工程项目1"	"20000.00"	""	"2019-8-1"	"2019-8-30"	""	"0"	"0"	"94"	"2019-8-1 20:49:44"
"13"	"92"	"43"	"412924197702273952"	"曹得保"	"54"	"恒大地产花园1期消防施工安装"	"5000000.00"	""	"2019-8-2"	"2020-8-1"	""	"0"	"0"	"90"	"2019-8-2 11:06:54"
"14"	"92"	"43"	"412924197702273952"	"曹得保"	"55"	"恒大地产花园2期消防施工安装"	"3000000.00"	""	"2019-8-2"	"2020-8-1"	""	"0"	"0"	"90"	"2019-8-2 11:06:54"
"15"	"1"	"13"	"130721195202099654"	"章三顺"	"8"	"马家龙文体中心1期"	"11111.00"	""	"2019-8-7"	"2019-9-27"	""	"0"	"0"	"1"	"2019-8-7 09:59:44"
"16"	"113"	"76"	"452701193607270925"	"爱普客服授信2"	"130"	"港铁4号延长线1期"	"1000.00"	""	"2019-9-1"	"2019-9-30"	""	"0"	"0"	"153"	"2019-8-14 15:13:18"
"17"	"113"	"76"	"452701193607270925"	"爱普客服授信2"	"131"	"港铁4号延长线2期"	"2000.00"	""	"2019-10-1"	"2019-10-31"	""	"0"	"0"	"153"	"2019-8-14 15:13:18"
"18"	"113"	"76"	"452701193607270925"	"爱普客服授信2"	"132"	"港铁4号延长线3期"	"3000.00"	""	"2019-11-1"	"2019-11-30"	""	"0"	"0"	"153"	"2019-8-14 15:13:18"
