"11"	"1"	"1"	"credit6"	""	"2019-7-24 15:37:09"	"2019-7-1"	"0.1"	"33"	""	"罗大佬"	"admin授信1"	"430524195110305616"	"2"	"66"	"13522220000"	"4"	""	""	""	"110000"	"110000"	"110101"	"马家龙问题中心艺园路202号"	"7"	"1,2"	"1"	"2019-8-7 09:56:47"	"1"	"2019-7-24 15:33:30"	"1"
"12"	"1"	"1"	"credit1"	""	""	""	""	""	""	""	"章三顺"	""	"1"	"67"	"15271895642"	"4"	""	""	""	"440000"	"440300"	"440305"	"马家龙文体中心"	"6"	""	"1"	"2019-8-2 09:50:33"	"1"	"2019-7-29 14:50:05"	"1"
"13"	"1"	"1"	"credit98"	""	"2019-7-29 15:16:16"	"2016-3-1"	"3.3"	"32"	""	"王生"	"章三顺"	"130721195202099654"	"1"	"57"	"15271814083"	"4"	""	""	""	"440000"	"440300"	"440305"	"马家龙村"	"6"	""	""	"2019-8-7 09:59:44"	"1"	"2019-7-29 14:52:32"	"1"
"14"	"69"	"3"	"credit2"	""	"2019-7-29 15:10:09"	"2019-7-1"	"0.1"	"105"	""	"是的范德萨"	"斑布1"	"511525197505138329"	"89"	"55"	"13566552211"	"91"	""	""	""	"110000"	"110000"	"110101"	"南山区马家龙文体中心B栋8楼艺园路202号"	"94"	""	""	"2019-7-29 15:10:09"	"52"	"2019-7-29 15:08:23"	"52"
"15"	"69"	"3"	"credit98"	""	"2019-7-29 15:26:31"	"2019-8-1"	"0.0"	"103"	""	"都十分嘚瑟"	"斑布纸业职员1"	"331125194603183669"	"89"	"65"	"13655221144"	"91"	""	""	""	"110000"	"110000"	"110101"	"ADASDSADDASD"	"94"	""	""	"2019-7-29 15:56:58"	"52"	"2019-7-29 15:24:07"	"53"
"16"	"69"	"3"	"credit98"	""	"2019-7-29 16:09:56"	"2019-7-1"	"1.0"	"103"	""	"是的撒"	"斑布纸业职员1授信2"	"510722196312081174"	"89"	"66"	"13522332200"	"90"	"萨达"	"371522199110031643"	"13655221144"	"110000"	"110000"	"110101"	"阿斯顿撒多撒多"	"94"	""	""	"2019-7-29 16:14:20"	"52"	"2019-7-29 16:08:30"	"53"
"17"	"66"	"8"	"credit98"	""	"2019-7-30 12:01:23"	"2017-7-3"	"2.0"	"339"	""	"汪汪汪"	"金三顺"	"341226197904173963"	"325"	"40"	"15235689888"	"327"	"金正恩"	"360429196607204653"	"15265656868"	"440000"	"440300"	"440305"	"深圳湾科技生态园"	"329"	""	""	"2019-7-30 16:51:08"	"48"	"2019-7-30 11:45:38"	"48"
"19"	"1"	"1"	"credit6"	""	"2019-8-1 15:24:18"	"2019-8-14"	"1.0"	"32"	""	"大范德萨"	"dsaf"	"430522199206047813"	"1"	"123"	"13088854921"	"4"	""	""	""	"120000"	"120000"	"120103"	"股份的施工方"	"7"	"1,2"	"1"	"2019-8-1 15:25:44"	"1"	"2019-7-30 14:47:13"	"1"
"22"	"83"	"13"	"credit1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"61"	""	""	"2019-7-30 17:36:48"	"61"
"24"	"65"	"22"	"credit1"	""	""	""	""	""	""	""	""	""	""	""	""	"929"	""	""	""	""	""	""	""	""	""	"46"	"2019-7-31 10:50:15"	"46"	"2019-7-31 10:50:11"	"46"
