"1"	"斑布纸业职员1"	"331125194603183669"	"女"	"65"	"13655221144"	"未婚 "	""	""	""	"110000"	""	"110000"	""	"110101"	""	"ADASDSADDASD"	"按揭中"	"2019-7-29 15:56:58"	"52"	"2019-8-23 06:58:48"	"52"	"0"
"2"	"斑布纸业职员1授信2"	"510722196312081174"	"女"	"66"	"13522332200"	"已婚"	"萨达"	"371522199110031643"	"13655221144"	"110000"	""	"110000"	""	"110101"	""	"阿斯顿撒多撒多"	"按揭中"	"2019-7-29 16:14:20"	"52"	"2019-8-23 06:58:48"	"52"	"0"
"3"	"金三顺"	"341226197904173963"	"女"	"40"	"15235689888"	"未婚 "	"金正恩"	"360429196607204653"	"15265656868"	"440000"	""	"440300"	""	"440305"	""	"深圳湾科技生态园"	"购置"	"2019-7-30 16:51:08"	"48"	"2019-8-23 06:58:48"	"48"	"0"
"4"	"王麻子"	"420113198712162721"	"男"	"31"	"13589675823"	"未婚 "	""	""	""	"440000"	""	"440300"	""	"440304"	""	"深南大道201号"	"购置"	"2019-7-31 18:14:01"	"46"	"2019-8-23 06:58:48"	"46"	"0"
"5"	"就好了健康"	"430522199206047813"	"男"	"56"	"13088854921"	"未婚 "	""	""	""	"120000"	""	"120000"	""	"120103"	""	"和规范健康和国际化规范化"	"购置"	"2019-7-31 19:56:54"	"43"	"2019-8-23 06:58:48"	"43"	"0"
"6"	"花卷1号职员授信1"	"610728193609144146"	"女"	"66"	"13655550000"	"已婚"	"没有111"	"411101199511297572"	"13544552211"	"120000"	""	"120000"	""	"120101"	""	"南山区马家龙11232二位惹我的网"	"租住"	"2019-7-31 20:51:21"	"69"	"2019-8-23 06:58:48"	"69"	"0"
"7"	"蛮灵客服1授信1"	"210123195210028522"	"女"	"55"	"13566552211"	"未婚 "	""	""	""	"310000"	""	"310000"	""	"310101"	""	"马家龙问题中心B栋5楼"	"购置"	"2019-8-1 20:49:44"	"94"	"2019-8-23 06:58:48"	"94"	"0"
"8"	"曹得保"	"412924197702273952"	"男"	"42"	"13728952504"	"未婚 "	""	""	""	"410000"	""	"411300"	""	"411302"	""	"溧河乡虎庙村9组"	"购置"	"2019-8-2 11:06:54"	"90"	"2019-8-23 06:58:48"	"90"	"0"
"9"	"章三顺"	"130721195202099654"	"男"	"57"	"15271814083"	"未婚 "	""	""	""	"440000"	""	"440300"	""	"440305"	""	"马家龙村"	"购置"	"2019-8-7 09:59:44"	"1"	"2019-8-23 06:58:48"	"1"	"0"
"10"	"爱普客服授信2"	"452701193607270925"	"男"	"83"	"13966663333"	"未婚 "	""	""	""	"110000"	""	"110000"	""	"110101"	""	"南山区马家龙文体中心 鼎元宏大厦4楼A座408"	"租住"	"2019-8-14 15:13:18"	"153"	"2019-8-23 06:58:48"	"153"	"0"
