"1"	"69"	"16"	"4"	"12"	"授信工程项目2"	"0"	"9"	"510722196312081174"	"斑布纸业职员1授信2"	"441100.01"	"2019-8-10"	"2019-9-10"	"0"	"53"	"2019-7-29 16:59:28"	"2019-7-29 16:59:28"	"53"	"1"
"2"	"65"	"27"	"6"	"20"	"天安云谷一期消防施工项目"	"0"	"18"	"420113198712162721"	"王麻子"	"500000.00"	"2019-7-31"	"2019-10-30"	"0"	"46"	"2019-7-31 18:30:19"	"2019-7-31 18:30:19"	"46"	"1"
"3"	"85"	"32"	"11"	"35"	"马家龙文体3期工程"	"0"	"19"	"610728193609144146"	"花卷1号职员授信1"	"12345678.00"	"2019-8-1"	"2019-8-10"	"0"	"69"	"2019-7-31 21:16:32"	"2019-7-31 21:16:32"	"69"	"1"
"4"	"90"	"38"	"12"	"50"	"授信工程项目1"	"0"	"28"	"210123195210028522"	"蛮灵客服1授信1"	"123456789.00"	"2019-8-1"	"2019-8-31"	"0"	"94"	"2019-8-1 21:32:20"	"2019-8-1 21:32:20"	"94"	"1"
"5"	"92"	"43"	"14"	"55"	"恒大地产花园2期消防施工安装"	"0"	"34"	"412924197702273952"	"曹得保"	"300000.00"	"2019-8-2"	"2019-11-1"	"0"	"90"	"2019-8-2 11:33:40"	"2019-8-2 11:33:40"	"90"	"1"
"6"	"85"	"32"	"10"	"34"	"马家龙文体2期工程"	"0"	"20"	"610728193609144146"	"花卷1号职员授信1"	"123.00"	"2017-7-3"	"2017-10-5"	"0"	"69"	"2019-8-9 09:37:02"	"2019-8-9 09:37:02"	"69"	"1"
"7"	"85"	"32"	"11"	"35"	"马家龙文体3期工程"	"0"	"19"	"610728193609144146"	"花卷1号职员授信1"	"300.00"	"2017-7-3"	"2017-10-5"	"0"	"69"	"2019-8-9 11:15:35"	"2019-8-9 11:15:35"	"69"	"1"
"8"	"66"	"17"	"5"	"13"	"深圳湾科技生态园"	"0"	"14"	"341226197904173963"	"金三顺"	"307800.50"	"2019-5-29"	"2019-8-29"	"0"	"48"	"2019-8-9 14:42:00"	"2019-8-9 14:42:00"	"48"	"1"
"9"	"90"	"38"	"12"	"50"	"授信工程项目1"	"0"	"28"	"210123195210028522"	"蛮灵客服1授信1"	"0.50"	"2017-7-3"	"2017-10-5"	"0"	"94"	"2019-8-14 18:49:12"	"2019-8-14 18:49:12"	"94"	"1"
"10"	"90"	"38"	"12"	"50"	"授信工程项目1"	"0"	"27"	"210123195210028522"	"蛮灵客服1授信1"	"100.00"	"2019-5-1"	"2019-8-1"	"0"	"94"	"2019-8-14 18:54:56"	"2019-8-14 18:54:56"	"94"	"1"
"11"	"1"	"13"	"15"	"8"	"马家龙文体中心1期"	"0"	"35"	"130721195202099654"	"章三顺"	"1.00"	"2019-5-29"	"2019-8-29"	"0"	"1"	"2019-8-19 15:44:06"	"2019-8-19 15:44:06"	"1"	"1"
"12"	"69"	"16"	"4"	"12"	"授信工程项目2"	"0"	"9"	"510722196312081174"	"斑布纸业职员1授信2"	"1.00"	"2019-5-29"	"2019-8-29"	"0"	"1"	"2019-8-19 15:47:40"	"2019-8-19 15:47:40"	"1"	"1"
"13"	"124"	"93"	"23"	"179"	"美心月饼"	"0"	"62"	"620121196309240417"	"猴头菇客服授信申请1"	"100.00"	"2019-5-29"	"2019-8-29"	"0"	"183"	"2019-8-21 13:44:40"	"2019-8-21 13:44:40"	"183"	"1"
"14"	"124"	"93"	"24"	"180"	"港其月饼"	"0"	"63"	"620121196309240417"	"猴头菇客服授信申请1"	"1.00"	"2019-9-1"	"2019-9-30"	"0"	"183"	"2019-8-21 17:03:21"	"2019-8-21 17:03:21"	"183"	"1"
"15"	"130"	"102"	"25"	"191"	"a1"	"0"	"69"	"330624195802248263"	"二哈客服授信申请12"	"100.00"	"2019-9-1"	"2019-9-30"	"0"	"196"	"2019-8-23 11:59:17"	"2019-8-23 11:59:17"	"196"	"1"
"16"	"130"	"102"	"25"	"191"	"a1"	"0"	"70"	"330624195802248263"	"二哈客服授信申请12"	"200.00"	"2019-9-1"	"2019-9-30"	"0"	"196"	"2019-8-23 12:30:42"	"2019-8-23 12:30:42"	"196"	"1"
